GEOID20,District
34033020001,1
34033001501,1
34033042009,1
34033000703,9
34033042001,9
34033007001,9
34033030001,1
34033004204,1
34033004206,1
34033004208,1
34033042007,1
34033005002,1
34033070001,1
34033004205,1
34033060E01,1
3403360W001,1
3403360W002,1
34033060E02,1
34033004203,1
34033004202,9
34011ZZZZZZ,11
34011025003,11
34033020002,11
34011060001,11
34011030001,11
34033000702,9
34029025417,12
34029025422,12
34029025415,12
34029060010,7
34029060009,7
34029055014,3
34029055004,3
34029055003,5
34029055001,5
34029055011,5
34029090009,10
34029090040,10
34037120001,4
34005195001,10
34005150012,10
34005150011,10
34005150001,10
34005150014,10
34005150009,10
34005150013,10
34005135002,2
34005135003,2
34005170003,10
34005170006,10
34005170004,10
34005180004,10
34005180001,10
34005170005,10
34021035007,6
34021035004,6
34021030008,6
34021030005,6
34021050004,6
34005180005,10
34005180002,10
34005180003,10
34005170002,10
34005090007,10
34005950009,10
34005090006,10
34005090008,10
34005090003,10
34005105014,10
34005105012,10
34005110001,10
34005110002,10
34029025116,8
34029060013,8
34029060014,8
34029025139,8
34029025102,8
34005110003,10
34005110004,10
34029025104,8
34029060012,8
34029060004,8
34029060006,8
34029060005,8
34029060018,7
34029025332,7
34005105010,4
34005105004,4
34005105013,4
34005025301,12
34005025101,12
34005025302,12
34005105007,11
34005105011,4
34005105003,11
34029060002,7
34005065024,5
34005065008,5
34005065030,5
34005065028,3
34005065019,3
34005065017,3
34005065027,3
34005065029,3
34005065032,3
34005065018,11
34005065015,3
34005065011,5
34005125026,12
34005065020,11
34005065031,11
34005065010,3
34007170006,11
34005065026,3
34005065016,11
34007043034,3
34007170013,3
34007170014,11
34005065002,4
34007043033,9
34005065004,4
34005065014,9
34005065001,4
34005065003,4
34007170015,11
34007170008,3
34007043036,12
34007043046,12
34007170003,11
34007170007,12
34007043047,12
34041070001,2
34041055002,2
34041055001,2
34007170019,12
34007170017,12
34025090004,6
34025140003,6
34025047005,6
34025090009,6
34029060003,7
34007170005,4
34007170002,4
34007170012,12
34007043029,12
34007043030,12
34007170001,4
34007043005,4
34007170018,4
34007043035,7
34007043002,7
34007043014,7
34007170004,4
34007155001,4
34007105002,4
34007105001,4
34007015005,4
34007015002,4
34007165001,4
34007085004,4
34007155003,4
34007115001,4
34007115002,4
34007155002,4
34007135018,2
34007135014,2
34007135003,2
34007135009,2
34007115003,4
34007075009,4
34007115004,4
34007150005,4
34007015004,4
34007015003,4
34007015001,4
34007090003,4
34007090002,4
34007020001,9
34007020007,9
34007075021,4
34007130001,5
34007055001,5
34007150003,4
34007150001,9
34007150004,9
34007150002,9
34007020002,9
34007125003,9
34007150006,9
34015010004,9
34007020004,9
34007020003,9
34007040404,7
34007040405,7
34007040402,2
34015010019,9
34015105001,9
34007035001,9
34015010020,9
34015010017,9
34015100003,5
34015010007,5
34015105003,5
34015010015,5
34015100002,5
34015105002,5
34015110103,5
34015110102,5
34029060016,8
34015110101,5
34015100010,5
34015100009,5
34029025320,7
34029025206,7
34015060002,6
34015100015,6
34015100008,6
34015100005,6
34015060003,6
34015100007,6
34015060004,6
34015060001,6
34015100001,6
34015100016,6
34015070005,6
34029005001,2
34029102002,2
34029025000,8
34029ZZZZZZ,8
34029060008,8
34029060015,8
34029085003,2
34029060007,7
34029060017,2
34029060011,7
34029102001,2
34029102005,2
34029102006,2
34029102004,2
34029150018,12
34029003002,12
34029003004,12
34029003006,12
34029003007,2
34029003012,2
34029003008,2
34029003005,7
34029160002,11
34029160001,11
34029080005,8
34029080001,8
34029080011,11
34029150005,7
34001010501,1
34001010502,1
34001010404,1
34001010302,1
34001010401,1
34005185001,10
34005005001,11
34001042103,10
34005165004,10
34005165002,10
34001045001,3
34001040004,3
34005165001,10
34005165003,4
34007175006,10
34007175004,10
34001065003,10
34005105016,11
34001050001,8
34001065002,8
34001065001,8
34007175003,11
34007175007,11
34007180202,3
34007180105,3
34007180104,3
34007045001,3
34007180106,3
34007170016,11
34007170011,11
34007170009,11
34007030003,11
34007030001,11
34007170010,11
34007025002,5
34007025004,5
34007110009,5
34007065002,12
34007065001,12
34009ZZZZZZ,11
34009015001,11
34015035002,6
34015035001,6
34015120002,7
34015080002,7
34007110004,12
34007050003,5
34007110007,5
34007110003,12
34007160001,4
34007160003,4
34007140001,6
34007095001,4
34007160006,4
34007160004,4
34007155004,4
34007110008,4
34007110001,4
34007160002,4
34007075026,4
34007075011,4
34007075015,4
34007075012,4
34007075025,4
34007075016,4
34007075024,4
34007075003,4
34015035005,6
34015070002,6
34015035004,6
34015070001,6
34007075001,4
34015070003,6
34015070004,6
34007075022,9
34011040001,11
34007075002,9
34007075006,8
34015090008,8
34007075013,9
34015010008,8
34007075004,8
34015010021,9
34033070002,1
34015025005,1
34015025007,1
34033050001,1
34015010018,5
34015010006,5
34015010002,5
34015010010,5
34015010016,7
34015010022,7
34015010009,7
34015110201,5
34015110203,5
34015110202,5
34015110302,6
34015110204,5
34015110304,6
34015110303,6
34015110301,6
34015040004,2
34015040002,2
34015050001,2
34015050010,2
34015075007,2
34015075004,2
34015050006,2
34015100006,5
34015100013,6
34015100017,6
34015100011,6
34015100014,6
34015050012,3
34015050008,3
34015015001,6
34029080002,11
34001010603,7
34001010601,7
34001010602,7
34001110005,7
34001010402,7
34001010403,1
34001010301,1
34001095201,7
34001095104,7
34001095103,7
34001055015,7
34001005101,7
34001055014,3
34001055001,3
34001055009,3
34001100201,3
34001055008,8
34001055007,3
34001100101,3
34001055002,3
34001085201,10
34001085301,10
34001010303,1
34001010203,1
34001010202,1
34001015401,3
34001015301,3
34001ZZZZZZ,8
34001010104,1
34001015101,8
34029080008,8
34029080014,8
34029085002,8
34009050002,11
34009050001,11
34029080007,8
34029080013,8
34029040001,8
34001025003,8
34001105204,12
34001105102,12
34001105103,12
34001040005,12
34001040001,12
34011020002,11
34011020001,11
34011010001,11
34001040006,12
34001105104,12
34011070608,2
34011050104,2
34011070602,2
34011070607,2
34011070609,2
34011015001,9
34033050004,9
34011070205,9
34011045002,11
34009030007,11
34009030015,11
34009020006,11
34009030001,11
34009020007,11
34001070201,12
34011045001,2
34001040002,12
34001105201,12
34001105203,12
34001040018,3
34001055004,3
34001070202,12
34009020003,2
34009055001,2
34001070102,12
34001070101,12
34001070203,12
34009030009,11
34009030004,11
34009030005,11
34009030006,11
34009030017,11
34009055008,2
34001030101,2
34009055012,2
34009005001,11
34009045004,11
34009055006,2
34009055002,2
34009055007,2
34009040401,11
34001105101,2
34009040403,2
34009040402,2
34011070606,2
34011070604,2
34011070601,2
34011070610,2
34001090204,5
34001095204,5
34001075001,8
34001080004,8
34009040201,2
34009040204,2
