,GEOID20,District
0,34033020001,2
1,34033001501,2
2,34033042009,2
3,34033000703,2
4,34033042001,2
5,34033007001,2
6,34033030001,2
7,34033004204,2
8,34033004206,2
9,34033004208,2
10,34033042007,2
11,34033005002,2
12,34033070001,2
13,34033004205,2
14,34033060E01,2
15,3403360W001,2
16,3403360W002,2
17,34033060E02,2
18,34033004203,2
19,34033004202,2
20,34011ZZZZZZ,2
21,34011025003,2
22,34033020002,2
23,34011060001,2
24,34011030001,2
25,34033000702,2
26,34029025417,4
27,34029025422,4
28,34029025415,4
29,34029060010,4
30,34029060009,4
31,34029055014,4
32,34029055004,4
33,34029055003,4
34,34029055001,5
35,34029055011,4
36,34029090009,4
37,34029090040,4
38,34037120001,5
39,34005195001,3
40,34005150012,3
41,34005150011,3
42,34005150001,3
43,34005150014,3
44,34005150009,3
45,34005150013,3
46,34005135002,3
47,34005135003,3
48,34005170003,3
49,34005170006,3
50,34005170004,3
51,34005180004,3
52,34005180001,3
53,34005170005,3
54,34021035007,3
55,34021035004,3
56,34021030008,12
57,34021030005,12
58,34021050004,12
59,34005180005,3
60,34005180002,3
61,34005180003,3
62,34005170002,3
63,34005090007,3
64,34005950009,3
65,34005090006,3
66,34005090008,3
67,34005090003,3
68,34005105014,3
69,34005105012,3
70,34005110001,3
71,34005110002,3
72,34029025116,2
73,34029060013,4
74,34029060014,4
75,34029025139,2
76,34029025102,2
77,34005110003,3
78,34005110004,3
79,34029025104,2
80,34029060012,4
81,34029060004,4
82,34029060006,4
83,34029060005,4
84,34029060018,4
85,34029025332,4
86,34005105010,3
87,34005105004,3
88,34005105013,3
89,34005025301,3
90,34005025101,3
91,34005025302,3
92,34005105007,3
93,34005105011,3
94,34005105003,3
95,34029060002,4
96,34005065024,3
97,34005065008,3
98,34005065030,3
99,34005065028,3
100,34005065019,3
101,34005065017,3
102,34005065027,3
103,34005065029,3
104,34005065032,3
105,34005065018,3
106,34005065015,3
107,34005065011,3
108,34005125026,3
109,34005065020,3
110,34005065031,3
111,34005065010,3
112,34007170006,1
113,34005065026,3
114,34005065016,3
115,34007043034,1
116,34007170013,1
117,34007170014,1
118,34005065002,3
119,34007043033,1
120,34005065004,3
121,34005065014,3
122,34005065001,3
123,34005065003,3
124,34007170015,1
125,34007170008,1
126,34007043036,1
127,34007043046,1
128,34007170003,1
129,34007170007,1
130,34007043047,1
131,34041070001,7
132,34041055002,7
133,34041055001,7
134,34007170019,1
135,34007170017,1
136,34025090004,3
137,34025140003,3
138,34025047005,4
139,34025090009,3
140,34029060003,4
141,34007170005,1
142,34007170002,1
143,34007170012,1
144,34007043029,1
145,34007043030,1
146,34007170001,1
147,34007043005,1
148,34007170018,1
149,34007043035,1
150,34007043002,1
151,34007043014,1
152,34007170004,4
153,34007155001,1
154,34007105002,1
155,34007105001,1
156,34007015005,1
157,34007015002,1
158,34007165001,1
159,34007085004,1
160,34007155003,1
161,34007115001,1
162,34007115002,1
163,34007155002,1
164,34007135018,1
165,34007135014,1
166,34007135003,1
167,34007135009,1
168,34007115003,1
169,34007075009,1
170,34007115004,1
171,34007150005,1
172,34007015004,1
173,34007015003,1
174,34007015001,1
175,34007090003,1
176,34007090002,1
177,34007020001,1
178,34007020007,1
179,34007075021,1
180,34007130001,1
181,34007055001,1
182,34007150003,1
183,34007150001,1
184,34007150004,1
185,34007150002,1
186,34007020002,1
187,34007125003,1
188,34007150006,1
189,34015010004,1
190,34007020004,1
191,34007020003,1
192,34007040404,1
193,34007040405,1
194,34007040402,1
195,34015010019,1
196,34015105001,1
197,34007035001,1
198,34015010020,1
199,34015010017,1
200,34015100003,1
201,34015010007,1
202,34015105003,1
203,34015010015,1
204,34015100002,1
205,34015105002,1
206,34015110103,1
207,34015110102,1
208,34029060016,4
209,34015110101,1
210,34015100010,1
211,34015100009,1
212,34029025320,4
213,34029025206,4
214,34015060002,1
215,34015100015,1
216,34015100008,1
217,34015100005,1
218,34015060003,1
219,34015100007,1
220,34015060004,1
221,34015060001,1
222,34015100001,1
223,34015100016,1
224,34015070005,1
225,34029005001,2
226,34029102002,2
227,34029025000,2
228,34029ZZZZZZ,2
229,34029060008,4
230,34029060015,4
231,34029085003,2
232,34029060007,4
233,34029060017,4
234,34029060011,4
235,34029102001,2
236,34029102005,2
237,34029102006,2
238,34029102004,2
239,34029150018,2
240,34029003002,2
241,34029003004,2
242,34029003006,2
243,34029003007,2
244,34029003012,2
245,34029003008,2
246,34029003005,2
247,34029160002,2
248,34029160001,2
249,34029080005,2
250,34029080001,2
251,34029080011,2
252,34029150005,2
253,34001010501,2
254,34001010502,2
255,34001010404,2
256,34001010302,2
257,34001010401,2
258,34005185001,3
259,34005005001,3
260,34001042103,2
261,34005165004,3
262,34005165002,3
263,34001045001,2
264,34001040004,2
265,34005165001,3
266,34005165003,3
267,34007175006,1
268,34007175004,1
269,34001065003,2
270,34005105016,3
271,34001050001,2
272,34001065002,2
273,34001065001,2
274,34007175003,1
275,34007175007,1
276,34007180202,1
277,34007180105,1
278,34007180104,1
279,34007045001,1
280,34007180106,1
281,34007170016,1
282,34007170011,1
283,34007170009,1
284,34007030003,1
285,34007030001,1
286,34007170010,1
287,34007025002,1
288,34007025004,1
289,34007110009,1
290,34007065002,1
291,34007065001,1
292,34009ZZZZZZ,2
293,34009015001,2
294,34015035002,2
295,34015035001,2
296,34015120002,2
297,34015080002,2
298,34007110004,1
299,34007050003,1
300,34007110007,1
301,34007110003,1
302,34007160001,1
303,34007160003,1
304,34007140001,1
305,34007095001,1
306,34007160006,1
307,34007160004,1
308,34007155004,1
309,34007110008,1
310,34007110001,1
311,34007160002,1
312,34007075026,1
313,34007075011,1
314,34007075015,1
315,34007075012,1
316,34007075025,1
317,34007075016,1
318,34007075024,1
319,34007075003,1
320,34015035005,2
321,34015070002,1
322,34015035004,2
323,34015070001,1
324,34007075001,1
325,34015070003,1
326,34015070004,1
327,34007075022,1
328,34011040001,2
329,34007075002,1
330,34007075006,1
331,34015090008,1
332,34007075013,1
333,34015010008,1
334,34007075004,1
335,34015010021,1
336,34033070002,2
337,34015025005,2
338,34015025007,2
339,34033050001,2
340,34015010018,1
341,34015010006,1
342,34015010002,1
343,34015010010,1
344,34015010016,1
345,34015010022,1
346,34015010009,1
347,34015110201,1
348,34015110203,1
349,34015110202,1
350,34015110302,1
351,34015110204,1
352,34015110304,1
353,34015110303,1
354,34015110301,1
355,34015040004,2
356,34015040002,2
357,34015050001,1
358,34015050010,1
359,34015075007,1
360,34015075004,1
361,34015050006,1
362,34015100006,1
363,34015100013,1
364,34015100017,1
365,34015100011,1
366,34015100014,1
367,34015050012,1
368,34015050008,1
369,34015015001,1
370,34029080002,2
371,34001010603,2
372,34001010601,2
373,34001010602,2
374,34001110005,2
375,34001010402,2
376,34001010403,2
377,34001010301,2
378,34001095201,2
379,34001095104,2
380,34001095103,2
381,34001055015,2
382,34001005101,2
383,34001055014,2
384,34001055001,2
385,34001055009,2
386,34001100201,2
387,34001055008,2
388,34001055007,2
389,34001100101,2
390,34001055002,2
391,34001085201,2
392,34001085301,2
393,34001010303,2
394,34001010203,2
395,34001010202,2
396,34001015401,2
397,34001015301,2
398,34001ZZZZZZ,2
399,34001010104,2
400,34001015101,2
401,34029080008,2
402,34029080014,2
403,34029085002,2
404,34009050002,2
405,34009050001,2
406,34029080007,2
407,34029080013,2
408,34029040001,2
409,34001025003,2
410,34001105204,2
411,34001105102,2
412,34001105103,2
413,34001040005,2
414,34001040001,2
415,34011020002,2
416,34011020001,2
417,34011010001,2
418,34001040006,2
419,34001105104,2
420,34011070608,2
421,34011050104,2
422,34011070602,2
423,34011070607,2
424,34011070609,2
425,34011015001,2
426,34033050004,2
427,34011070205,2
428,34011045002,2
429,34009030007,2
430,34009030015,2
431,34009020006,2
432,34009030001,2
433,34009020007,2
434,34001070201,2
435,34011045001,2
436,34001040002,2
437,34001105201,2
438,34001105203,2
439,34001040018,2
440,34001055004,2
441,34001070202,2
442,34009020003,2
443,34009055001,2
444,34001070102,2
445,34001070101,2
446,34001070203,2
447,34009030009,2
448,34009030004,2
449,34009030005,2
450,34009030006,2
451,34009030017,2
452,34009055008,2
453,34001030101,2
454,34009055012,2
455,34009005001,2
456,34009045004,2
457,34009055006,2
458,34009055002,2
459,34009055007,2
460,34009040401,2
461,34001105101,2
462,34009040403,2
463,34009040402,2
464,34011070606,2
465,34011070604,2
466,34011070601,2
467,34011070610,2
468,34001090204,2
469,34001095204,2
470,34001075001,2
471,34001080004,2
472,34009040201,2
473,34009040204,2
474,34009040203,2
475,34001105202,2
476,34011070406,2
477,34011070407,2
478,34011070102,2
479,34015025004,2
480,34001020001,2
481,34011070605,2
482,34011070103,2
483,34011070101,2
484,34001080003,2
485,34001090101,2
486,34001090102,2
487,34015025009,2
488,34001080002,2
489,34001080001,2
490,34001110003,2
491,34001060011,2
492,34001060007,2
493,34001060013,2
494,34011010002,2
495,34009040102,2
496,34009040202,2
497,34009040104,2
498,34009040103,2
499,34009040101,2
500,34007180304,1
501,34007180405,1
502,34007180403,1
503,34007180201,1
504,34011035003,2
505,34033050003,2
506,34033050002,2
507,34011010003,2
508,34011050506,2
509,34011050503,2
510,34011050501,2
511,34007075035,1
512,34007075018,1
513,34007075036,1
514,34007075031,1
515,34007075019,1
516,34007075030,1
517,34007075020,1
518,34007180306,1
519,34007180401,1
520,34007075034,1
521,34007140005,1
522,34007140003,1
523,34007075017,1
524,34007075014,1
525,34007075023,1
526,34015055213,1
527,34015055415,1
528,34015055203,1
529,34015055201,1
530,34015055209,1
531,34007180402,1
532,34007180301,1
533,34011010004,2
534,34011025001,2
535,34015055319,1
536,34015055302,1
537,34015055216,1
538,34015055312,1
539,34015055214,1
540,34011025002,2
541,34011065003,2
542,34011025004,2
543,34015055318,1
544,34001025001,2
545,34001060003,2
546,34001025002,2
547,34015025010,2
548,34015055404,1
549,34015055405,1
550,34015025006,2
551,34007140002,1
552,34007050001,1
553,34001020002,2
554,34011050102,2
555,34011050101,2
556,34007145001,1
557,34007050002,1
558,34001115001,2
559,34001060005,2
560,34001085101,2
561,34015055411,1
